Temperature (F),Humidity (%),Wind Speed (mph),Cloudiness (%),Country,City Name,Lat,Lon
29.13,55,2.01,0,MG,Morondava,-20.3,44.28
29.99,48,3.1,20,IT,Garlasco,45.2,8.92
23.0,43,4.6,0,BW,Masunga,-20.62,27.45
31.14,51,5.1,0,FR,Hyeres,43.12,6.14
22.0,78,5.1,0,BR,Sao Joao da Barra,-21.64,-41.05
10.73,88,2.11,0,AU,Codrington,-28.95,153.24
25.0,78,1.0,40,BR,Maceio,-9.67,-35.74
35.0,20,5.0,40,RU,Priyutnoye,46.1,43.51
31.0,40,6.2,20,RO,Mangalia,43.8,28.58
16.74,39,9.3,75,BE,Baarle-Hertog,51.44,4.93
7.35,100,6.2,90,NO,Berlevag,70.86,29.09
36.88,18,2.06,0,RU,Yuzhno-Sukhokumsk,44.66,45.65
30.5,33,2.6,40,IT,Melfi,41.0,15.66
29.99,40,2.6,40,RO,Zimandu Nou,46.28,21.4
23.0,88,3.1,75,US,Port Elizabeth,39.31,-74.98
42.0,19,5.1,0,SA,Buraydah,26.33,43.97
30.53,74,7.91,80,IN,Porbandar,21.64,69.61
31.5,74,3.6,75,IN,Alibag,18.64,72.88
25.0,126,1.81,75,MZ,Inhambane,-23.87,35.38
38.0,10,5.1,75,SA,Najran,17.54,44.22
37.78,29,4.51,0,LY,Jalu,29.03,21.55
25.63,90,2.66,0,AL,Orikum,40.33,19.47
26.0,88,1.41,75,GF,Cayenne,4.94,-52.33
26.0,83,2.1,40,NG,Lagos,6.46,3.39
25.0,65,4.6,20,PT,Ponta Delgada,37.73,-25.67
10.0,100,9.3,90,IS,Grindavik,63.84,-22.43
27.0,69,1.41,90,MX,Costa Rica,24.59,-107.39
34.38,51,5.66,12,BF,Hounde,11.5,-3.52
24.53,57,5.11,0,RU,Georgiyevka,52.25,40.45
37.83,38,3.21,0,NE,Ouallam,14.32,2.08
10.38,93,11.26,0,FO,Vagur,61.47,-6.81
31.3,22,1.5,0,ES,Ejea de los Caballeros,42.13,-1.14
28.68,100,3.86,76,MV,Thinadhoo,0.53,72.93
28.0,42,3.6,0,FR,Thiers,45.86,3.55
28.93,45,4.1,0,HR,Rovinj,45.08,13.64
39.38,28,4.21,0,NE,Arlit,18.74,7.39
26.0,61,3.6,40,MZ,Maputo,-25.97,32.57
14.0,71,5.0,75,RU,Lukovetskiy,64.29,41.92
19.69,93,5.7,75,PT,Camacha,33.08,-16.33
20.26,68,8.2,90,FR,Bousse,49.28,6.2
29.0,51,4.6,20,RO,Vultureni,46.4,27.27
29.0,51,3.6,75,HU,Pellerd,46.03,18.15
21.03,66,4.46,8,BR,Tupaciguara,-18.59,-48.7
16.32,72,3.6,0,BR,Praia,-20.25,-43.81
11.57,76,2.6,75,NO,Nesna,66.2,13.02
33.53,76,0.56,0,OM,Sur,22.57,59.53
27.58,62,1.71,8,PT,Belmonte,40.36,-7.35
11.0,81,4.1,75,NO,Rorvik,64.86,11.24
21.22,72,6.7,40,ES,Santa Cruz de Tenerife,28.47,-16.25
30.0,70,5.7,40,BR,Luis Correia,-2.88,-41.67
28.0,61,5.1,0,BR,Nisia Floresta,-6.09,-35.21
8.58,96,9.36,92,IS,Stykkisholmur,65.08,-22.73
21.0,94,1.26,0,BR,Alta Floresta,-9.87,-56.08
30.0,23,3.1,0,AZ,Suraabad,40.82,49.47
26.48,98,2.06,12,BR,Santa Helena,-2.23,-45.3
31.0,48,1.5,0,FR,Valreas,44.38,4.99
26.38,56,2.56,0,MW,Chanika,-12.93,34.19
21.0,64,3.6,40,EE,Ahja,58.21,27.07
34.18,23,6.21,64,KZ,Makat,47.65,53.35
35.68,19,5.91,0,SY,Abu Kamal,34.45,40.92
35.13,10,5.01,48,YE,Marzuq,14.4,46.47
31.08,64,5.26,0,GM,Nioro,13.79,-15.05
24.28,27,4.21,0,BW,Khudumelapye,-23.91,24.95
21.78,82,2.26,0,BR,Diamantino,-14.4,-56.44
12.0,54,10.8,0,FO,Klaksvik,62.23,-6.59
23.0,60,2.6,75,RW,Kibaya,-2.2,30.56
26.63,61,2.31,92,TZ,Mbekenyera,-10.0,38.98
34.13,18,2.06,92,KZ,Zhanaozen,43.35,52.85
25.0,78,3.1,40,MU,Quatre Cocos,-20.21,57.76
2.28,74,1.16,64,CN,Gamba,28.28,88.52
23.0,73,2.6,40,PT,Ribeira Grande,38.52,-28.7
11.0,100,1.36,20,BR,Pontal do Parana,-25.67,-48.51
30.0,74,6.2,75,OM,Salalah,17.01,54.1
29.0,70,4.1,20,YT,Dzaoudzi,-12.79,45.27
24.03,100,0.86,92,IN,Ratnagiri,16.98,73.3
25.0,22,9.0,0,RU,Novoorsk,51.38,58.98
18.53,29,5.1,0,FI,Keuruu,62.26,24.71
40.98,15,9.81,0,IR,Dehloran,32.69,47.27
22.53,99,1.06,92,CD,Kisangani,0.52,25.21
24.38,98,5.91,0,GR,Koutsouras,35.03,25.95
9.45,81,6.2,75,NO,Sorland,67.67,12.69
29.48,42,5.1,20,IT,Arzachena,41.08,9.39
24.13,100,5.16,100,IN,Candolim,15.52,73.76
13.78,78,2.91,80,RU,Mezen,65.85,44.24
35.13,19,5.36,44,KZ,Beyneu,45.32,55.19
27.0,61,7.2,0,BR,Paracuru,-3.41,-39.03
42.0,23,4.6,40,IN,Dwarka,28.58,77.04
34.63,54,6.11,0,BF,Solenzo,12.18,-4.08
15.0,47,4.6,40,IE,Skibbereen,51.55,-9.27
17.33,58,4.66,56,RU,Uray,60.13,64.8
21.28,82,1.06,0,MX,Laguna,27.52,-110.01
20.08,46,9.76,20,RU,Buzdyak,54.57,54.53
29.78,9,1.51,0,IR,Fereydunshahr,32.94,50.12
24.0,50,5.1,75,MZ,Chimoio,-19.11,33.48
17.0,93,2.6,0,BR,Sao Francisco,-25.65,-53.85
9.0,93,2.0,75,RU,Murmashi,68.82,32.82
30.0,45,4.6,20,HR,Zadar,44.12,15.24
18.68,72,3.41,0,BR,Monte Carmelo,-18.73,-47.5
25.53,98,1.51,20,BR,Oeiras do Para,-2.0,-49.85
28.18,70,6.16,32,BR,Touros,-5.2,-35.46
28.0,23,9.0,0,KZ,Shakhtinsk,49.71,72.59
28.0,61,3.1,0,SN,Gat,14.69,-16.54
5.0,80,3.1,75,AU,Margate,-43.03,147.26
28.0,30,8.0,0,KZ,Aktau,43.65,51.16
27.43,92,2.26,48,BR,Cururupu,-1.82,-44.87
31.0,29,3.6,0,ES,Betera,39.58,-0.45
17.0,55,6.7,75,CA,Bay Roberts,47.58,-53.28
15.0,100,1.0,0,BR,Porto Novo,-23.68,-45.44
25.0,78,3.1,40,MU,Bambous Virieux,-20.34,57.76
10.0,100,6.7,90,IS,Vestmannaeyjar,63.44,-20.27
8.94,87,1.5,75,NO,Alta,69.97,23.27
29.45,45,2.1,0,FR,Gourdon,44.74,1.38
20.53,70,3.41,76,RU,Sindor,62.87,51.9
27.03,91,5.01,80,GH,Takoradi,4.89,-1.75
36.42,48,6.2,20,IR,Qeshm,26.96,56.27
25.0,69,3.6,75,AO,Luanda,-8.83,13.24
19.68,37,4.11,0,RU,Vyartsilya,62.18,30.69
40.0,14,10.8,0,DZ,Adrar,27.87,-0.29
21.2,88,0.5,40,VE,Santa Rita,10.21,-67.56
19.18,55,7.7,40,DE,Weiden,49.81,7.3
13.0,76,2.1,75,FI,Forssa,60.82,23.63
21.0,37,12.0,75,RU,Davlekanovo,54.22,55.03
28.43,67,2.96,76,NG,Bara,10.41,10.6
5.0,74,2.1,75,GL,Ilulissat,69.22,-51.1
25.93,92,4.36,92,NG,Ughelli,5.49,6.0
16.0,87,1.0,0,BR,Santa Maria,-29.69,-53.81
22.28,62,6.01,80,LV,Aloja,57.77,24.88
20.38,80,1.41,0,BR,Presidente Epitacio,-21.76,-52.12
20.63,67,4.01,0,BR,Cavalcante,-13.79,-47.46
25.93,85,4.21,24,BR,Conde,-11.81,-37.61
24.0,64,2.6,75,TZ,Muriti,-1.99,32.93
19.43,93,3.01,68,MA,Tiznit,29.7,-9.73
42.0,10,9.3,0,IR,Zabol,31.03,61.49
30.28,66,3.81,36,SD,Kaduqli,11.01,29.72
25.0,88,6.2,40,BB,Bathsheba,13.22,-59.52
24.48,89,1.51,76,BR,Sao Sebastiao,-3.15,-58.36
29.68,58,5.1,40,TR,Manisa,38.62,27.43
24.48,41,3.31,0,MW,Mzimba,-11.9,33.6
19.0,93,2.6,90,ES,Aviles,43.55,-5.92
24.28,92,5.11,36,GA,Mayumba,-3.44,10.65
22.23,87,1.21,92,CD,Wamba,2.14,27.99
10.28,96,1.31,100,RU,Kirovsk,67.62,33.66
25.43,100,3.56,68,LR,Buchanan,5.88,-10.05
24.68,68,1.86,0,AO,Camabatela,-8.19,15.37
26.0,88,2.1,40,GY,Georgetown,6.8,-58.16
16.88,53,7.31,68,RU,Nikolsk,59.53,45.45
9.66,81,5.7,75,NO,Bud,62.91,6.91
23.43,98,1.91,64,BR,Oriximina,-1.77,-55.87
16.53,47,5.86,0,ZA,Hermanus,-34.42,19.24
25.93,87,2.86,0,CG,Djambala,-2.55,14.76
18.38,79,6.46,56,RU,Kharp,66.82,65.8
25.78,61,1.41,0,AO,Uige,-7.61,15.06
23.18,24,3.41,0,NA,Gobabis,-22.45,18.97
32.33,61,2.41,32,TD,Biltine,14.53,20.93
27.68,51,5.31,0,BR,Apodi,-5.66,-37.8
22.78,44,1.76,0,ZA,Duiwelskloof,-23.69,30.14
36.58,10,1.76,80,IR,Darab,28.75,54.55
37.78,7,1.86,0,IR,Ravar,31.27,56.81
16.43,95,9.56,100,UY,Chuy,-33.69,-53.46
12.72,62,4.1,1,CA,Saint-Philippe,45.36,-73.48
36.58,35,4.81,36,YE,Sabya,16.19,43.1
20.43,48,8.41,0,RU,Shuyskoye,59.37,41.03
25.0,83,2.6,90,IN,Ponnani,10.77,75.93
29.13,57,9.96,12,SO,Hobyo,5.35,48.53
16.73,95,2.61,12,NA,Henties Bay,-22.12,14.28
26.98,27,4.46,0,ZM,Zambezi,-13.55,23.12
9.0,100,3.6,90,SE,Ludvika,60.15,15.18
29.0,70,6.2,40,CI,Jackville,5.21,-4.42
29.08,95,9.61,92,MV,Kulhudhuffushi,6.62,73.07
27.78,15,3.71,88,YE,Sayyan,15.17,44.32
25.63,87,1.31,8,BR,Tucurui,-3.77,-49.67
32.0,25,7.2,90,UZ,Gurlan,41.84,60.39
23.0,56,2.6,75,TR,Talas,38.69,35.55
13.33,85,3.36,92,RU,Lesnoy,59.78,52.13
44.0,11,6.2,0,EG,Aswan,24.09,32.9
28.78,34,9.26,56,KZ,Temir,49.14,57.13
39.08,14,2.36,0,IR,Kashan,33.99,51.44
22.93,100,2.51,88,BR,Alagoinhas,-12.13,-38.42
9.35,100,6.7,75,NO,Roald,62.58,6.12
37.63,44,7.71,0,SA,Umm Lajj,25.02,37.27
31.0,33,4.6,20,IT,Vieste,41.88,16.18
20.43,98,0.51,92,MG,Vangaindrano,-23.35,47.6
15.0,54,5.1,0,SE,Lulea,65.58,22.15
27.03,61,1.36,76,CD,Lodja,-3.52,23.6
18.0,68,2.1,20,BR,Pompeu,-21.05,-48.85
27.0,61,7.2,0,BR,Vila Velha,-3.71,-38.6
19.0,72,2.1,75,MA,Marrakesh,31.63,-7.99
32.88,56,2.41,48,SD,Doka,13.52,35.76
21.13,85,2.51,0,BR,Arenapolis,-14.45,-56.85
19.29,68,3.6,75,PT,Canico,32.63,-16.85
15.18,65,5.31,92,RU,Polunochnoye,60.87,60.43
24.03,100,3.36,88,NG,Kontagora,10.4,5.47
25.0,61,5.1,90,RE,Saint-Leu,-21.15,55.28
34.03,51,2.61,44,IN,Hatod,22.65,75.01
23.71,31,10.0,0,RU,Oktyabrskiy,55.61,37.97
25.0,78,3.1,40,MU,Grand Gaube,-20.01,57.66
25.0,73,6.2,75,SN,Dakar,14.69,-17.45
24.56,64,6.7,40,ES,Puerto del Rosario,28.5,-13.86
36.63,53,3.06,0,IN,Badhni Kalan,30.68,75.29
24.53,88,3.71,92,IN,Periyapatti,11.22,78.15
21.18,53,3.06,0,BR,Alto Araguaia,-17.32,-53.22
27.0,57,4.1,20,TN,Jabinyanah,35.03,10.91
10.63,99,7.86,92,RU,Igra,57.55,53.1
21.13,85,2.51,0,BR,Nortelandia,-14.45,-56.8
25.03,78,6.26,0,MG,Antalaha,-14.9,50.28
30.0,22,5.1,20,IR,Bojnurd,37.47,57.33
7.73,99,3.16,100,NO,Kirkenaer,60.46,12.06
31.53,58,2.16,0,CD,Bandundu,-3.32,17.38
36.78,9,2.66,92,IR,Khash,28.22,61.21
11.46,66,6.7,40,NO,Gravdal,59.79,5.78
13.18,98,1.61,92,RU,Khor,47.88,134.96
28.68,29,1.61,0,IR,Sarab,38.61,44.99
27.63,77,4.51,20,NG,Funtua,11.52,7.31
27.48,68,1.16,0,GQ,Evinayong,1.44,10.55
23.0,25,4.6,0,ZA,Knysna,-34.04,23.05
19.48,25,6.41,0,ZA,Colesberg,-30.72,25.1
23.0,73,3.1,20,ES,Bereda,43.27,-7.54
28.53,100,2.51,20,MV,Hithadhoo,-0.6,73.08
12.53,88,5.71,36,IE,Killybegs,54.63,-8.45
28.0,65,7.2,75,BR,Nossa Senhora das Dores,-10.49,-37.19
26.34,42,3.1,40,RS,Mana,43.52,20.24
3.93,87,0.26,88,GL,Maniitsoq,65.42,-52.9
26.38,42,3.36,0,ZW,Chiredzi,-21.05,31.67
34.88,19,3.51,20,KZ,Shetpe,44.14,52.16
43.78,12,7.31,0,ML,Araouane,18.9,-3.53
28.18,85,3.01,20,CF,Birao,10.3,22.78
15.26,62,10.8,40,NL,Soest,52.17,5.29
12.33,100,2.16,92,RU,Ust-Kulom,61.69,53.69
24.38,82,1.36,80,CD,Kindu,-2.95,25.92
20.63,46,9.01,0,RU,Pechenga,58.89,41.46
29.25,42,5.7,20,SI,Mezica,46.52,14.85
18.13,44,3.41,0,RU,Segezha,63.74,34.31
18.43,42,2.56,0,FI,Lieksa,63.32,30.02
41.98,11,6.91,0,ML,Tessalit,20.2,1.01
27.48,100,6.56,76,MV,Mahibadhoo,3.78,72.97
14.0,82,5.7,0,UY,Maldonado,-34.91,-54.96
11.43,72,1.66,0,CA,Saint-Georges,46.12,-70.67
15.72,87,2.6,20,US,Syracuse,43.05,-76.15
0.73,92,2.41,80,GL,Upernavik,72.79,-56.15
25.43,36,2.06,0,ZM,Chingola,-12.55,27.86
13.18,68,5.71,0,RU,Yar-Sale,66.83,70.83
25.58,36,2.66,0,CD,Kisanga,-11.72,27.4
35.38,26,2.06,0,RU,Kazanskaya,45.41,40.44
22.68,43,1.31,0,RU,Storozhevaya,43.89,41.46
30.53,61,1.31,48,CD,Bongandanga,1.51,21.07
7.0,100,3.6,75,NO,Nikel,69.41,30.21
11.68,87,0.16,48,KZ,Merke,42.87,73.19
27.03,25,2.51,0,BW,Shakawe,-18.36,21.84
25.0,78,3.1,40,MU,Flic en Flac,-20.27,57.36
25.13,100,4.91,80,LR,Robertsport,6.75,-11.37
27.38,31,2.11,36,IR,Shahrud,36.42,54.97
24.18,96,0.96,76,SR,Moengo,5.62,-54.4
8.0,93,2.1,75,NO,Skjervoy,70.03,20.97
20.38,100,2.41,80,AO,Namibe,-15.19,12.15
16.63,93,7.21,100,RU,Krutinka,56.01,71.51
34.53,22,0.96,0,IR,Semnan,35.58,53.39
26.0,27,4.6,0,BW,Pandamatenga,-18.54,25.64
27.68,69,2.81,12,UA,Husyatyn,49.07,26.21
19.58,56,5.21,48,RU,Irtyshskiy,58.33,68.13
25.43,32,0.76,0,AM,Meghri,38.9,46.25
32.0,38,5.1,40,EG,Marsa Matruh,31.35,27.25
24.53,51,3.06,0,ZA,Lavumisa,-27.31,31.88
-1.46,100,12.9,90,AR,Ushuaia,-54.81,-68.31
38.18,50,2.96,0,BF,Djibo,14.1,-1.63
21.0,73,5.7,75,ES,Los Llanos de Aridane,28.66,-17.92
10.43,77,7.71,92,CA,Bonavista,48.65,-53.11
15.38,100,3.21,92,RU,Tevriz,57.51,72.4
29.46,35,2.1,0,ES,Brenes,37.55,-5.87
17.5,62,9.3,40,DE,Bad Laasphe,50.93,8.41
32.0,36,4.0,48,KZ,Taraz,42.89,71.39
33.0,11,6.0,0,KZ,Arys,42.43,68.8
17.0,88,3.6,90,EE,Klooga,59.32,24.25
27.0,83,2.1,90,PH,Toledo,10.38,123.64
36.0,7,4.1,0,TM,Farap,39.18,63.61
30.0,23,3.1,0,AZ,Badamdar,40.34,49.81
42.0,22,5.7,36,SD,Sawakin,19.1,37.33
21.28,59,2.96,0,ZA,Kruisfontein,-34.0,24.73
17.0,77,4.1,75,TR,Emirdag,39.02,31.15
23.43,100,1.11,88,ID,Lamu,0.57,122.3
21.28,64,2.31,0,ZA,Port Alfred,-33.59,26.89
27.78,77,3.26,88,NG,Wukari,7.87,9.78
37.58,50,1.91,8,PK,Adilpur,27.94,69.32
45.0,24,2.1,0,SA,Mecca,21.43,39.83
38.33,28,5.91,64,NE,Bilma,18.69,12.92
14.03,99,2.51,92,RU,Pinega,64.7,43.39
18.73,83,4.31,0,ZA,Plettenberg Bay,-34.05,23.37
21.0,77,2.86,20,PT,Praia da Vitoria,38.73,-27.07
24.28,100,1.61,44,CD,Businga,3.34,20.89
27.0,61,7.2,0,BR,Aquiraz,-3.9,-38.39
18.18,75,0.31,44,RU,Troitsko-Pechorsk,62.71,56.19
21.03,38,8.51,0,RU,Kovernino,57.13,43.81
16.0,44,7.7,8,GB,Coldingham,55.89,-2.16
28.13,82,4.06,8,BR,Camocim,-2.9,-40.84
